subdomain,is_reachable
piloto2fapre.uma.es,True
pinumapre.uma.es,True
pistacho.ac.uma.es,True
pitonisa.lcc.uma.es,False
piwik.uma.es,True
pixie.uma.es,False
plcdocsearch.uma.es,True
pluton.lcc.uma.es,False
policy3.sci.uma.es,False
politecnica.cv.uma.es,True
polovrpe.uma.es,False
portafirma-pre.uma.es,False
portafirma.uma.es,True
portafirmas-pre.uma.es,True
portafirmas.uma.es,True
portafolio.cv.uma.es,True
portal.ext.uma.es,False
portalacademico.uma.es,True
portalacademicopre.uma.es,True
portfolio.cv.uma.es,True
posgradosindustrializacion.uma.es,True
posgradosingenieriaproducto.uma.es,True
ppidocencia.uma.es,False
ppopp11.ac.uma.es,True
practicasexternas.uma.es,True
practicasexternaspre.uma.es,False
practicasinternacionales.uma.es,True
precog.lcc.uma.es,True
predimedplus.uma.es,True
prevencion.uma.es,False
prevencionpre.uma.es,False
prevenweb.uma.es,True
proa.uma.es,True
proapre.uma.es,True
problemasexp.uma.es,True
problemasfie.uma.es,True
problemasie.uma.es,True
problemasmaq.uma.es,True
problemassee.uma.es,True
procat.uma.es,True
procie.uma.es,True
proeurodili.uma.es,True
programa.movilidad.uma.es,True
projects.uma.es,True
prole2004.lcc.uma.es,False
prometeo.sci.uma.es,False
proxipito.sci.uma.es,False
proxyappgestion.sci.uma.es,False
proxycorreo.uma.es,False
proxydesarrollo.sci.uma.es,False
proxyservicios.sci.uma.es,False
proyectocovidmalaga.uma.es,False
proyectos.diana.uma.es,True
proyectos.evlt.uma.es,True
proyectos.satd.uma.es,False
proyectos.uma.es,False
prtstefan2.medicina.uma.es,True
prueba.uma.es,False
psicosocial.uma.es,True
pub-nat-210.scbi.uma.es,True
